No.;Time;Comment;Scramble;Date;P.1
1110;1.86;;F2 U' R2 F B2 D R' U2 L' B D2 F' D2 F2 U2 L2 F' R2 D2 B;2023-01-01 18:30:46;1.86
1111;2.18;;U' B U2 R2 F' U2 F' D2 F2 L2 R2 F2 L' F' D' U B' D2 L2 B2;2023-01-02 20:15:10;2.18
1112;1.92;;F R' U2 R B U' B D' R U2 F2 U2 F2 B L2 B R2 D2 B2;2023-01-02 20:15:13;1.92
1113;1.88;;R' L2 D2 F2 D L2 D' R2 U F2 L2 U B' R D B' F L D B;2023-01-02 20:15:15;1.88
1114;2.34;;R B' U R' D' L U2 F' D L2 D2 B2 R2 U2 B' R2 F' D2 B R2 B';2023-01-02 20:15:19;2.34
1115;1.96;;U' B R' U' B D' L' F' U R2 D2 F2 R2 U2 B2 R L2 B2 L U2 R;2023-01-02 20:15:23;1.96
1116;1.95;;B2 R L2 B' U' F2 L D F2 U2 F' L2 B2 R2 F' U2 L2 D2 F';2023-01-02 20:15:27;1.95
1117;2.12;;R2 D2 R2 D2 R2 U2 F2 U B2 R2 F2 L U2 F L' D2 L2 U2 F R' U';2023-01-02 20:15:31;2.12
1118;2.34;;L' D' B U2 B' U2 F' R2 F L2 F R2 B2 F' R' F' L' U' B R D';2023-01-02 20:15:35;2.34
1119;2.15;;R D B2 U F2 D' R2 F2 L2 F2 D2 U R2 F' D R2 B' F2 L' R' D2;2023-01-02 20:15:38;2.15
1120;1.99;;L2 B2 F2 D U2 F2 D' L2 U2 R2 B2 R2 B R' D L F R' D' B' D';2023-01-02 20:15:43;1.99
1121;3.18;;B2 R2 B2 R2 U2 B L2 D2 R2 B2 D2 R D R' D R2 U' L2 B U F;2023-01-03 19:33:51;3.18
1122;2.51;;R' L F D' F L U' B2 R B' R2 D2 L2 B2 R2 F R2 D2 L2 U2;2023-01-03 19:33:55;2.51
1123;2.22;;D2 L D' B2 U' B2 L2 D2 R2 D' U2 B2 U' L2 R' F U B L2 R B2;2023-01-03 19:33:59;2.22
1124;2.06;;B2 L2 R' U2 R' U2 R' F2 U2 F2 R' B' D2 R D L R2 D' F' L;2023-01-03 19:34:03;2.06
1125;2.25;;F2 B' D' L2 D F' D U2 B2 D2 B2 L' D2 R U2 L2 B2 L2 D2 F D';2023-01-03 19:34:06;2.25
1126;2.86;;F U R2 D L2 U L2 F2 D F2 U' F2 R2 L' B D2 L B2 L' D2;2023-01-03 19:34:10;2.86
1127;2.15;;D B' D2 R' B' L' B' L2 U2 L2 D2 B2 R2 F' D2 B2 U2 L2;2023-01-03 19:34:13;2.15
1128;2.80;;U F2 B L2 U2 F' L' F' R2 F2 U L2 B2 D' R2 U B2 U' L2 D2;2023-01-03 19:34:16;2.80
1129;1.99;;D F' D2 U2 F' L2 D2 B2 F' U2 F' L2 F2 R B D' R2 B2 D' B R;2023-01-03 19:34:21;1.99
1130;2.08;;R U2 F2 L' U2 R D2 F2 L B2 D2 U L' B2 L' B' D U' F' D';2023-01-03 19:34:24;2.08
1131;2.25;;L' F2 R' B2 U2 F2 D2 R' F2 D2 L2 F2 B' L' B F D' F2 R2 F2 L;2023-01-07 00:41:18;2.25
1132;1.83;;L2 U L2 B2 D' U' B2 U R2 U' F2 R' D U' B L U R2 D' L2;2023-01-07 00:41:21;1.83
1133;1.83;;B' D2 R2 B U2 R2 F R2 U2 R2 U R2 F' L' D2 R B2 D2 U2;2023-01-07 00:41:24;1.83
1134;1.71;;D' F R2 U' B2 L2 U2 F2 R2 D2 U L2 R U2 B D' F2 L2 D';2023-01-07 00:41:27;1.71
1135;2.12;;R' D' L B' U' B2 R' B R F' B U2 L2 F' U2 R2 F2 U2 D2;2023-01-07 00:41:29;2.12
1136;2.15;;D F2 R' F2 B U L' U2 D2 F' D2 L2 B U2 F' U2 F' U2 B' R';2023-01-07 00:41:34;2.15
1137;1.73;;R' L2 D2 B2 R2 U L2 D' U R2 F2 U' L' F2 R2 F' R U R F D';2023-01-07 00:41:37;1.73
1138;2.35;;B2 U2 R2 B2 D2 L2 B2 F L2 B D' L U' L R' U B2 D2 R;2023-01-07 00:41:40;2.35
1139;1.96;;R' B2 L' F2 L' R2 D2 L2 U2 F2 U' F' L2 B D2 U2 B' L2 B;2023-01-07 00:41:44;1.96
1140;2.48;;R' F L2 B2 D' R2 B2 F2 U' F2 D' U2 R' U L U B2 R2 B' R2;2023-01-07 00:41:47;2.48
1141;2.40;;L F2 U L2 U' R2 B2 U' B2 D2 R2 F2 R' F' R B L U' R2 D' U2;2023-01-07 23:41:49;2.40
1142;1.80;;D F2 D2 U B2 R2 U2 R2 F2 R2 B2 L' B D R' B2 F R2 U2 R F;2023-01-07 23:41:52;1.80
1143;1.80;;R2 F D L2 B2 D2 R2 U' L2 U' B2 U R2 F2 L F' L' F2 D' R2 B;2023-01-07 23:41:55;1.80
1144;2.09;;U R2 D2 R2 U2 F2 U R2 F2 L2 U2 B' D2 U2 R B2 U' B' D F' D;2023-01-07 23:41:58;2.09
1145;1.83;;U' F2 D2 L U2 R' F2 R' F2 L2 D2 R' F2 D L' U B F' U L D';2023-01-07 23:42:01;1.83
